PropertyID,PropType,nbhd,Style,Extwall,Stories,Year_Built,Rooms,FinishedSqft,Units,Bdrms,Fbath,Hbath,Sale_price,RICH
119811,Residential,1140,Ranch,Brick,1,1956,6,1114,1,3,1,1,180000,NO
119935,Residential,1140,Cape Cod,Brick,1,1951,4,1271,1,3,2,0,180000,NO
120601,Residential,1140,Cape Cod,Stone,1,1935,7,1716,1,4,2,0,180000,NO
121350,Residential,1160,Res O/S 2sty +,Aluminum/Vinyl,2,1904,8,2105,1,5,2,0,180000,NO
126475,Residential,1380,Ranch,Brick,1,1967,8,1022,1,4,1,0,180000,NO
127070,Residential,1480,Cape Cod,Stone,1,1941,4,1116,1,2,1,0,180000,NO
127803,Residential,1400,Cape Cod,Aluminum/Vinyl,1,1955,5,1120,1,3,1,0,180000,NO
127922,Residential,1400,Duplex N/S,Aluminum/Vinyl,2,1957,10,2050,2,6,2,0,180000,NO
128076,Residential,1400,Ranch,Brick,1,1964,5,1191,1,3,2,0,180000,NO
129574,Residential,1460,Ranch,Aluminum/Vinyl,1,1958,5,1416,1,3,2,0,180000,NO
130036,Residential,1470,Duplex N/S,Brick,1.5,1959,9,2068,2,4,2,1,180000,NO
130189,Residential,1470,Duplex N/S,Aluminum/Vinyl,1.5,1960,9,1931,2,5,2,0,180000,NO
130324,Residential,1470,Ranch,Brick,1,1959,5,1184,1,3,1,1,180000,NO
130862,Residential,1480,Cape Cod,Brick,1,1956,5,1378,1,3,1,0,180000,NO
131492,Residential,1480,Ranch,Brick,1,1957,5,1288,1,3,1,1,180000,NO
132927,Residential,1560,Milwaukee Bungalow,Aluminum/Vinyl,1,1928,8,1513,1,3,2,0,180000,NO
134479,Residential,1440,Milwaukee Bungalow,Aluminum/Vinyl,1.5,1927,8,1459,1,3,2,0,180000,NO
140762,Residential,1470,Ranch,Aluminum/Vinyl,1,1957,5,948,1,3,1,0,180000,NO
141619,Residential,1460,Ranch,Aluminum/Vinyl,1,1955,5,1008,1,3,1,1,180000,NO
141634,Residential,1460,Ranch,Brick,1,1956,6,1178,1,3,1,0,180000,NO
143913,Residential,2040,Ranch,Aluminum/Vinyl,1,1954,5,933,1,3,1,0,180000,NO
144486,Residential,2040,Ranch,Aluminum/Vinyl,1,1955,5,1190,1,3,1,0,180000,NO
145175,Residential,1940,Cape Cod,Brick,1,1951,5,1221,1,3,1,1,180000,NO
145990,Residential,1830,Cape Cod,Brick,1,1946,5,1389,1,4,2,0,180000,NO
146337,Residential,1820,Cape Cod,Brick,1,1951,6,2217,1,3,1,1,180000,NO
147581,Residential,1740,Cape Cod,Brick,1.5,1937,5,1382,1,2,2,1,180000,NO
153045,Residential,3320,Dplx Bungalow,Aluminum/Vinyl,1.5,1924,9,1751,2,4,2,0,180000,NO
158916,Residential,1840,Milwaukee Bungalow,Aluminum/Vinyl,1,1929,7,1596,1,4,1,1,180000,NO
160820,Residential,2100,Cape Cod,Aluminum/Vinyl,1,1949,6,1252,1,4,1,2,180000,NO
162718,Residential,2080,Cape Cod,Brick,1,1948,5,979,1,3,1,0,180000,NO
164096,Residential,2080,Cape Cod,Aluminum/Vinyl,1,1950,5,1196,1,3,1,0,180000,NO
165437,Residential,1870,Colonial,Masonry/Frame,2,1950,6,1241,1,3,1,1,180000,NO
166957,Residential,2510,Milwaukee Bungalow,Brick,1,1924,8,2429,1,3,2,0,180000,NO
167435,Residential,1780,Dplx Bungalow,Aluminum/Vinyl,2,1921,12,2860,2,6,2,0,180000,NO
